"EDIT","STATEMENT_ID","PLAN_ID","TIMESTAMP","REMARKS","OPERATION","OPTIONS","OBJECT_NODE","OBJECT_OWNER","OBJECT_NAME","OBJECT_ALIAS","OBJECT_INSTANCE","OBJECT_TYPE","OPTIMIZER","SEARCH_COLUMNS","ID","PARENT_ID","DEPTH","POSITION","COST","CARDINALITY","BYTES","OTHER_TAG","PARTITION_START","PARTITION_STOP","PARTITION_ID","OTHER","DISTRIBUTION","CPU_COST","IO_COST","TEMP_SPACE","ACCESS_PREDICATES"
"
","722111347843176","1","30-JUN-25","","CREATE TABLE STATEMENT","","","","","","","","ALL_ROWS","","0","","0","0","0","","","","","","","","","0","0","",""
"
","722411694843267","2","30-JUN-25","","CREATE TABLE STATEMENT","","","","","","","","ALL_ROWS","","0","","0","0","0","","","","","","","","","0","0","",""
